customer_code,customer_name,market,forecast_accuracy_2020,forecast_accuracy_2021
70006158,"Atliq e Store",Philiphines,42.6505,24.4904
70008170,"Atliq e Store",Australia,40.9573,38.7404
90005161,Zone,Pakistan,40.0813,37.0962
90014140,"Radio Popular",Netherlands,38.5260,0.0000
90008166,Sound,Australia,38.5111,36.7911
70014143,"Atliq e Store",Netherlands,38.3174,0.0000
90004062,"Flawless Stores",Japan,38.2162,32.5617
90014137,"Media Markt",Netherlands,37.8548,0.0000
90014138,Mbit,Netherlands,37.8277,0.0000
70004069,"Atliq Exclusive",Japan,37.6207,32.0943
90014136,"Reliance Digital",Netherlands,37.5855,0.0000
80006154,Synthetic,Philiphines,37.4905,24.6261
70014142,"Atliq Exclusive",Netherlands,37.4290,0.0000
90014141,"Amazon ",Netherlands,37.3913,0.0000
90005160,"Nomad Stores",Pakistan,37.3022,37.2865
90006156,"Amazon ",Philiphines,37.2124,27.9378
90008164,Digimarket,Australia,37.1520,36.0143
90006153,Insight,Philiphines,37.1113,26.8818
90016173,Expert,Poland,36.7575,35.2621
80006155,Novus,Philiphines,36.5892,25.2821
90019200,Sorefoz,Sweden,36.4139,24.1350
70016177,"Atliq Exclusive",Poland,36.2176,34.8715
90004066,"Surface Stores",Japan,36.0465,33.5083
70006157,"Atliq Exclusive",Philiphines,35.8366,25.2009
90004065,Neptune,Japan,35.6665,30.2674
90004064,All-Out,Japan,35.1794,29.0933
90004061,"Info Stores",Japan,34.9935,30.8528
90019201,Expert,Sweden,34.9387,20.3426
90016172,Power,Poland,34.9316,34.8927
90019202,"Argos (Sainsbury's)",Sweden,34.8768,16.1653
90014139,Elkjøp,Netherlands,34.7412,0.0000
90019203,"Amazon ",Sweden,34.6607,16.4323
90014135,"Electricalslance Stores",Netherlands,34.5368,0.0000
90016175,"Argos (Sainsbury's)",Poland,34.4088,33.5427
90004063,"Electricalsbea Stores",Japan,33.9538,30.0547
90016174,"Currys (Dixons Carphone)",Poland,33.4434,33.0368
70007198,"Atliq Exclusive","South Korea",33.2437,17.3250
70004070,"Atliq e Store",Japan,31.2752,29.0102
90004067,Amazon,Japan,31.1697,30.5913
80007196,Leader,"South Korea",30.3980,18.1907
80007195,Sage,"South Korea",30.0932,19.4357
70019204,"Atliq e Store",Sweden,29.4206,21.3225
90012034,Otto,Germany,28.2646,18.3746
90012036,Billa,Germany,26.0487,18.2868
90012037,Saturn,Germany,25.1054,19.1644
70012042,"Atliq Exclusive",Germany,24.2759,22.8790
90012040,Fnac-Darty,Germany,23.2526,21.8493
90012033,Digimarket,Germany,22.8629,22.5065
90012035,Notebillig,Germany,20.1254,18.8685
